#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese monster table
#
player:			あなた:
hologram:		ホログラム:
#shadow:		シャドウ:
jester:			道化師:
attorney:		弁護士:
sleazoid:		おちょうし者:
killer tomato:		殺人トマト:
amazon:			アマゾン:
robot:			ロボット:
battlemech:		バトルメック:
#rhinovirus:		鼻風邪:
rhinovirus:		ライノウィルス:
#harpy:			ハーピー:
#lion-dog:		ライオン犬:
lion-dog:		獅子・狛犬:
rat-ant:		ネズミ蟻:
Y2K bug:		2000年問題:
#
#	misc
#
grue:			グルー:
Christmas-tree monster:	クリスマスツリーの怪物:
luck sucker:		厄病神:
paskald:		パスカルド:
#
#	Quendor (Zork, &c.)
#
brogmoid:		ブログモイド:
dornbeast:		ドルンビースト:
#
#	Moria
#
Ancient Multi-Hued Dragon:	古代万色ドラゴン:
Evil Iggy:			邪悪なるイギー:
#
#	Rogue
#
emu:		おおうずら:
kestrel:	おおはやぶさ:
xeroc:		ものまねの怪物:
venus flytrap:	はえとりぐさ:
#
#	Wizardry
#
creeping coins:	クリーピングコイン:
#
#	Greek legend
#
#hydra:		ヒドラ:
siren:		セイレーン:
#
#	Monty Python
#
killer bunny:	兇悪ウサちゃん:
#
#	The Princess Bride
#
rodent of unusual size:	異常な大きさのリスちゃん:
#
#	"Only you can prevent forest fires!"
#
Smokey the bear:	森林火災防止マークの熊ちゃん:
#
#	Discworld
#
#Luggage:	ルッゲージ:
Luggage:	＜荷物＞:
#
#	Lord of the Rings
#
Ent:		エント:
#
#	Xanth
#
tangle tree:	触手木:
#nickelpede:	ニッケルさそり:
wiggle:		ぴくぴく虫:
#
#	Lewis Carroll
#
white rabbit:	白うさぎ:
snark:		スナーク:
#
#	Dr. Doolittle
#
pushmi-pullyu:	オシツオサレツ:
#
#	The Smurfs
#
smurf:		スマーフ:
#
#	Star Trek
#
tribble:	トリブル:
Klingon:	クリンゴン:
Borg:		ボーグ:
#
#	Star Wars
#
Ewok:		イオーク:
#
#	Tonari no Totoro
#
Totoro:		となりのトトロ:
#
#	Nausicaa
#
ohmu:		王蟲:
#
#	monster movies
#
youma:		妖魔:
#
#	pocket monster
#
nyaasu:		ニャース:
#
#	monster movies
#
Godzilla:	ゴジラ:
King Kong:	キングコング:
#
#	old L of SH
#
earthquake beast:	大ナマズ:
#
#	Robotech
#
Invid:		インビッド:
#
#	The Terminator
#
Terminator:	ターミネーター:
#
#	Bubblegum Crisis
#
boomer:		ブーマー:
#
#	Dr. Who ("Exterminate!")
#
Dalek:		ダレク:
#
#	HGttG
#
microscopic space fleet:		超微細宇宙船:
Ravenous Bugblatter Beast of Traal:	がつがつむしゃむしゃトラアル獣:
#
#	TMNT
#
teenage mutant ninja turtle:	激亀忍者:
#
#	Usagi Yojimbo
#
samurai rabbit:		侍兎:
#
#	Cerebus
#
aardvark:		ツチブタ:
#
#	Little Shop of Horrors
#
Audrey II:		オードリーII:
#
#	50's rock 'n' roll
#
witch doctor:		呪術医:
#one-eyed one-horned flying purple people eater:	一目一手空飛ぶ紫人食類:
one-eyed one-horned flying purple people eater:	一目一角空飛ぶ紫人食類:
#
#	saccharine kiddy TV
#
Barney the dinosaur:	恐竜バニーちゃん:
#
#	Angband
#
Azog the Orc King:	オークの王『アゾグ』:
Morgoth:		モルゴス:
##Vorlon:			ヴォーロン:
questing beast:		探求のけもの:
Predator:		プレデター:
mother-in-law:		姑:

# #/*[Tom] new wacky names */
# #追加 by Shiganai Sakusha
#
#/* Military */
#
commando:		コマンドー:
green beret:		グリーンベレー:
sherman tank:		シャーマン戦車(AC-10):
#
#/* Star Wars */
#
Jedi knight:		ジェダイの騎士:
tie fighter:		タイファイター:
protocol droid:		プロトコル・ドロイド:
R2 unit:		R2ユニット:
Emperor:		帝国皇帝:
#
#/* Babylon 5 */
#アメリカ作品　１９９４年～１９９８年　第５期まで
#コッシュ大使:Vorlon Ambassador Kosh Naranek
#参考http://www.tora-2.com/Babylon5.HTM
Vorlon:			コッシュ大使:
#
#/* drinks */
#
#keg:			ケッグ:
keg:			ビア樽:
Diet Pepsi:		ダイエットペプシ:
#
#/* King Arthur */
#
##questing beast:	:
#
#/* Movie */
#
##Predator:		:
#
#/* misc */
#
green light:		青信号:
automobile:		自動車:
invisible Wizard of Yendor:	姿の見えないイェンダーの魔法使い:
piece of yellowish-brown glass:	価値があるかもしれない茶褐色のガラス:
wand of nothing:	単なる杖:
ocean:			海:
ballpoint pen:		ボールペン:
paper cut:		ペーパーナイフ:
#
#/* people I know */
#
Rune:			ルーン:
Gurk:			ガーク:
Yuval:			ユーヴァル:
#
#/* common pest */
#
##mother-in-law:	:
